$x$,$y_1$,$u_1$,$$\mid u_1 - y_1\mid$$
0.0,0.0,0.0,0.0
0.25,0.15201085401944445,0.15201572526627677,4.871246832321985e-06
0.5,0.2486491137803337,0.24862798641779227,2.1127362541423222e-05
0.75,0.29120626664580906,0.2911367829213013,6.948372450776841e-05
1.0,0.29064274363509335,0.29052438876004666,0.00011835487504668896
1.25,0.2615199953271708,0.2613727956695884,0.0001471996575824197
1.5,0.21737872460606933,0.21722929333780266,0.0001494312682666643
1.75,0.16859672474277368,0.1684664139493016,0.00013031079347208818
2.0,0.12204772348697429,0.12194831152444517,9.941196252911955e-05
2.25,0.08162196103691274,0.08155655701937517,6.540401753757363e-05
2.5,0.04899507337927282,0.0489609140239571,3.4159355315720175e-05
2.75,0.024357838423828583,0.024349067122147353,8.771301681229776e-06
3.0,0.007007512822476102,0.007017259848061428,9.747025585326446e-06
3.25,-0.00421372741378967,-0.004192030584643722,2.169682914594795e-05
3.5,-0.010615986931942687,-0.010587909262924352,2.807766901833514e-05
3.75,-0.013468276489264765,-0.013438118142455352,3.01583468094134e-05
4.0,-0.013888204903266263,-0.013858996821326455,2.9208081939808422e-05
4.25,-0.0127913863370581,-0.012765038977058496,2.634735999960426e-05
4.5,-0.010881189847052723,-0.01085870867828481,2.2481168767912382e-05
4.75,-0.008663538217372296,-0.008645253078439408,1.8285138932887593e-05
5.0,-0.006475257133575279,-0.006461034275230167,1.4222858345112367e-05
